Date,Price
06-06-2016,49.71
07-06-2016,50.37
08-06-2016,51.23
09-06-2016,50.52
10-06-2016,49.09
13-06-2016,48.89
14-06-2016,48.49
15-06-2016,47.92
16-06-2016,46.14
17-06-2016,48
20-06-2016,49.4
21-06-2016,48.95
22-06-2016,49.16
23-06-2016,49.34
24-06-2016,46.7
27-06-2016,45.8
28-06-2016,47.93
29-06-2016,49.85
30-06-2016,48.27
01-07-2016,49.02
05-07-2016,46.73
06-07-2016,47.37
07-07-2016,45.22
08-07-2016,45.37
11-07-2016,44.73
12-07-2016,46.82
13-07-2016,44.87
14-07-2016,45.64
15-07-2016,45.93
18-07-2016,45.23
19-07-2016,44.64
20-07-2016,44.96
21-07-2016,43.96
22-07-2016,43.41
25-07-2016,42.4
26-07-2016,42.16
27-07-2016,41.9
28-07-2016,41.13
29-07-2016,41.54
01-08-2016,40.05
02-08-2016,39.5
03-08-2016,40.8
04-08-2016,41.92
05-08-2016,41.83
08-08-2016,43.06
09-08-2016,42.78
10-08-2016,41.75
11-08-2016,43.51
12-08-2016,44.47
15-08-2016,45.72
16-08-2016,46.57
17-08-2016,46.81
18-08-2016,48.2
19-08-2016,48.48
22-08-2016,46.8
23-08-2016,47.54
24-08-2016,46.29
25-08-2016,46.97
26-08-2016,47.64
29-08-2016,46.97
30-08-2016,46.32
31-08-2016,44.68
01-09-2016,43.17
02-09-2016,44.39
06-09-2016,44.85
07-09-2016,45.47
08-09-2016,47.63
09-09-2016,45.88
12-09-2016,46.28
13-09-2016,44.91
14-09-2016,43.62
15-09-2016,43.85
16-09-2016,43.04
19-09-2016,43.34
20-09-2016,43.85
21-09-2016,45.33
22-09-2016,46.1
23-09-2016,44.36
26-09-2016,45.6
27-09-2016,44.65
28-09-2016,47.07
29-09-2016,47.72
30-09-2016,47.72
03-10-2016,48.8
04-10-2016,48.67
05-10-2016,49.75
06-10-2016,50.44
07-10-2016,49.76
10-10-2016,49.76
11-10-2016,50.72
12-10-2016,50.14
13-10-2016,50.47
14-10-2016,50.35
17-10-2016,49.97
18-10-2016,50.3
19-10-2016,51.59
20-10-2016,50.31
21-10-2016,50.61
24-10-2016,50.18
25-10-2016,49.45
26-10-2016,48.75
27-10-2016,49.71
28-10-2016,48.72
31-10-2016,46.83
01-11-2016,46.66
02-11-2016,45.32
03-11-2016,44.66
04-11-2016,44.07
07-11-2016,44.88
08-11-2016,44.96
09-11-2016,45.2
10-11-2016,44.62
11-11-2016,43.39
14-11-2016,43.29
15-11-2016,45.86
16-11-2016,45.56
17-11-2016,45.37
18-11-2016,45.69
21-11-2016,47.48
22-11-2016,48.07
23-11-2016,46.72
25-11-2016,46.72
28-11-2016,45.66
29-11-2016,45.29
30-11-2016,49.41
01-12-2016,51.08
02-12-2016,51.7
05-12-2016,51.72
06-12-2016,50.95
07-12-2016,49.85
08-12-2016,50.84
09-12-2016,51.51
12-12-2016,52.74
13-12-2016,52.99
14-12-2016,51.01
15-12-2016,50.9
16-12-2016,51.93
19-12-2016,52.13
20-12-2016,52.22
21-12-2016,51.44
22-12-2016,51.98
23-12-2016,52.01
27-12-2016,52.82
28-12-2016,54.01
29-12-2016,53.8
30-12-2016,53.75
03-01-2017,52.36
04-01-2017,53.26
05-01-2017,53.77
06-01-2017,53.98
09-01-2017,51.95
10-01-2017,50.82
11-01-2017,52.19
12-01-2017,53.01
13-01-2017,52.36
17-01-2017,52.45
18-01-2017,51.12
19-01-2017,51.39
20-01-2017,52.33
23-01-2017,52.77
24-01-2017,52.38
25-01-2017,52.14
26-01-2017,53.24
27-01-2017,53.18
30-01-2017,52.63
31-01-2017,52.75
01-02-2017,53.9
02-02-2017,53.55
03-02-2017,53.81
06-02-2017,53.01
07-02-2017,52.19
08-02-2017,52.37
09-02-2017,52.99
10-02-2017,53.84
13-02-2017,52.96
14-02-2017,53.21
15-02-2017,53.11
16-02-2017,53.41
17-02-2017,53.41
21-02-2017,54.02
22-02-2017,53.61
23-02-2017,54.48
24-02-2017,53.99
27-02-2017,54.04
28-02-2017,54
01-03-2017,53.82
02-03-2017,52.63
03-03-2017,53.33
06-03-2017,53.19
07-03-2017,52.68
08-03-2017,49.83
09-03-2017,48.75
10-03-2017,48.05
